For the year ended December 31:,2025,2024,2023
--------------------------------------------------------------,--------------,---------------,-------------
Income/(loss) from continuing operations before income taxes,,,
U.S. operations (1),\$<br>(236),"\$<br>(3,405)",\$<br>(227)
Non-U.S. operations,"10,564","9,202","8,917"
Total income from continuing operations before income taxes,"\$<br>10,328","\$<br>5,797","\$<br>8,690"
