At December 31:,2025,,2024
------------------------------------------,--------------,----,--------
Client financing receivables (1),"\$<br>13,192",\$,"10,294"
Commercial financing receivables (1) (2),"\$<br>2,992",\$,"2,216"
Financing Segment Debt (3),"\$<br>15,093",\$,"12,116"
Equity,"\$<br>1,678",\$,"1,346"
