"At December 31, 2025:",Total<br>Amortized<br>Cost,Amortized<br>Cost<br>> 90 Days (1),Amortized<br>Cost<br>> 90 Days and<br>Accruing (1),Billed<br>Invoices<br>> 90 Days and<br>Accruing,Amortized<br>Cost<br>Not<br>Accruing (2),,
------------------------------------,----------------------------,------------------------------------,----------------------------------------------------,-------------------------------------------------,------------------------------------------,----,--
Americas,"\$<br>7,278",\$<br>70,\$<br>20,\$<br>1,\$,50,
EMEA,"4,440",33,\$<br>0,0,,33,
Asia Pacific,"1,610",6,3,0,,3,
Total client financing receivables,"\$<br>13,328",\$<br>108,\$<br>24,\$<br>1,\$,85,
