,_,(Gains)/Losses of Total Hedge Activity,,,,,,,,
---------------------------------,---,----------------------------------------,-------,----,-------,----,-------,--,--,--
For the year ended December 31:,,,2025,,2024,,2023,,,
Cost of services,9,\$,27,\$,(22),\$,5,,,
Cost of sales,,,15,,(40),,(22),,,
Cost of financing,,,(2),,10,,11,,,
SG&A expense,,,(170),,(151),,(165),,,
Other (income) and expense,,,(641),,515,,(17),,,
Interest expense,,,(13),,51,,54,,,
