,2025,2024,2023
--------------------------------------------------------------,-------------,-------------,-------------
Balance at January 1,"\$<br>8,875","\$<br>8,772","\$<br>8,728"
Additions based on tax positions related to the current year,316,667,296
Additions for tax positions of prior years,402,452,231
Reductions for tax positions of prior years,"(2,843)",(955),(457)
Settlements,(95),(61),(26)
Balance at December 31,"\$<br>6,655","\$<br>8,875","\$<br>8,772"
