"For the year ended December 31, 2024:",Before Tax<br>Amount,Tax (Expense)/<br>Benefit,Net of Tax<br>Amount
----------------------------------------------------------------,----------------------,---------------------------,----------------------
Other comprehensive income/(loss),,,
Foreign currency translation adjustments,\$<br>301,\$<br>(324),\$<br>(23)
Net unrealized gains/(losses) on available-for-sale securities,\$<br>2,\$<br>0,\$<br>1
Unrealized gains/(losses) on cash flow hedges,,,
Unrealized gains/(losses) arising during the period,\$<br>389,\$<br>(113),\$<br>276
Reclassification of (gains)/losses to:,,,
Cost of services,(22),6,(16)
Cost of sales,(40),13,(27)
Cost of financing,6,(2),5
SG&A expense,(16),5,(11)
Other (income) and expense,125,(32),94
Interest expense,31,(8),24
Total unrealized gains/(losses) on cash flow hedges,\$<br>474,\$<br>(130),\$<br>343
Retirement-related benefit plans (1),,,
Prior service costs/(credits),\$<br>(56),\$<br>11,\$<br>(45)
Net gains/(losses) arising during the period,70,(65),6
Curtailments and settlements,"3,159",(719),"2,441"
Amortization of prior service costs/(credits),(7),2,(5)
Amortization of net (gains)/losses,975,(201),775
Total retirement-related benefit plans,"\$<br>4,142",\$<br>(971),"\$<br>3,171"
Other comprehensive income/(loss),"\$<br>4,919","\$<br>(1,426)","\$<br>3,492"
