For the year ended December 31:,2025,2024,2023
----------------------------------------------------------,----------------,----------------,-------------
Other (income) and expense,,,
(Gains)/losses on foreign currency transactions (1),\$<br>993,\$<br>(458) \$,116
(Gains)/losses on derivative instruments (1),(641),515,(17)
Interest income,(645),(747),(670)
Net (gains)/losses from securities and investment assets,7,(20),(39)
Retirement-related costs/(income) (2),65,"3,457",(39)
Other (3),(221),(877),(266)
Total other (income) and expense,\$<br>(442) \$,"1,871",\$<br>(914)
