,,Defined Benefit Pension Plans,,,Nonpension Postretirement Benefit Plans,,,,,,,
-------------------------------------------------------------------------------------------,----------,-------------------------------,------------,----------------,-----------------------------------------,------------,----------,----------------,--,--,--,--
,,U.S. Plans,,Non-U.S. Plans,U.S. Plan,,,Non-U.S. Plans,,,,
At December 31:,2025,2024,2025,2024,2025,2024,2025,2024,,,,
Prepaid pension assets,"\$ 4,866","\$ 4,651","\$ 2,679","\$ 2,842",\$<br>0,\$<br>0,\$<br>0,\$<br>0,,,,
Current liabilities—compensation<br>and benefits,(116),(117),(407),(362),(254),(218),(32),(20),,,,
Noncurrent liabilities—retirement<br>and nonpension postretirement<br>benefit obligations,"(1,137)","(1,160)","(5,411)","(5,766)","(1,965)","(2,033)",(505),(473),,,,
Funded status—net,"\$ 3,613","\$ 3,373","\$ (3,139)","\$ (3,286)","\$ (2,219)","\$ (2,251)",\$ (538),\$ (493),,,,
