,2025,,,2024,,
------------------------------------------,-----------------------,----------------,----,------,-----------------------,----------------
At December 31:,Benefit<br>Obligation,Plan<br>Assets,,,Benefit<br>Obligation,Plan<br>Assets
Plans with APBO in excess of plan assets,"\$<br>2,771 \$",,14,\$,"2,764 \$",20
