For the year ended December 31:,2025,2024
-------------------------------------------------------------------------------,----------------,--------------
Net cash provided by/(used in),,
Operating activities,"\$<br>13,193","\$<br>13,445"
Investing activities,"(10,302)","(4,937)"
Financing activities,"(3,829)","(7,079)"
"Effect of exchange rate changes on cash, cash equivalents and restricted cash",418,(359)
"Net change in cash, cash equivalents and restricted cash",\$<br>(520) \$,"1,071"
