At December 31:,2025<br>2024,,,,2023
-----------------,--------------,----,-------,----,-------
United States,"\$<br>4,097",\$,"4,009",\$,"3,466"
Other countries,"1,797",,"1,717",,"2,027"
Total,"\$<br>5,894",\$,"5,726",\$,"5,492"
