For the year ended December 31:,2024 (1),2023 (1),Yrto-Yr.<br>Percent<br>Change,Yrto-Yr.<br>Percent Change<br>Adjusted for<br>Currency
---------------------------------,--------------,--------------,-------------------------------,--------------------------------------------------------
Consulting revenue,"\$<br>20,692","\$<br>20,884",(0.9) %,0.6 %
Strategy and Technology,"\$<br>11,488","\$<br>11,430",0.5 %,2.0 %
Intelligent Operations,"9,204","9,455",(2.7),(1.2)
