For the year ended December 31:,2025
-------------------------------------------,-------------
U.S. federal,\$<br>218
U.S. state and local,92
Non-U.S.,
Brazil,197
Japan,154
Singapore,113
All other non-U.S.,"1,174"
Income taxes paid—net of refunds received,"\$<br>1,948"
