For the year ended December 31:,2025,2024,2023
--------------------------------------------------------------------------,-------------,------------,------------
Net cash from operating activities per GAAP,\$<br>13.2,\$<br>13.4,\$<br>13.9
Less: change in Financing receivables,(3.2),(0.4),1.2
"Net cash from operating activities, excluding Financing receivables",16.4,13.9,12.7
"Capital expenditures, net",(1.6),(1.1),(1.5)
Free cash flow,14.7,12.7,11.2
Change in Financing receivables,(3.2),(0.4),1.2
Acquisitions,(8.3),(3.3),(5.1)
Divestitures,0.0,0.7,0.0
Dividends,(6.3),(6.1),(6.0)
Change in total debt,2.9,(0.9),4.5
Other,(0.7),(1.0),(1.2)
"Effect of exchange rate changes on cash, cash equivalents and restricted",,,
cash,0.4,(0.4),0.0
"Change in cash, cash equivalents, restricted cash and short-term",,,
marketable securities,\$<br>(0.3),\$<br>1.3,\$<br>4.6
