,Client Financing Receivables,,,,,
----------------------------------,-----------------------------------------------,----------------------------------------------,------------------------,-------------,----------------------,--------------
,Client Loan and,Investment in,Commercial Financing,Receivables,,
"At December 31, 2025:",Installment Payment<br>Receivables<br>(Loans),Sales-Type and<br>Direct Financing<br>Leases,Held for<br>Investment,,Held for<br>Sale (1),Total
"Financing receivables, gross","\$<br>9,634","\$<br>4,338","\$<br>1,865",\$,"1,131","\$<br>16,968"
Unearned income,(710),(479),—,,—,"(1,189)"
Unguaranteed residual value,—,545,—,,—,545
Amortized cost,"\$<br>8,925","\$<br>4,403","\$<br>1,865",\$,"1,131","\$<br>16,324"
Allowance for credit losses,(69),(67),(5),,—,(141)
"Total financing receivables, net","\$<br>8,856","\$<br>4,336","\$<br>1,861",\$,"1,131","\$<br>16,184"
Current portion,"\$<br>4,226","\$<br>1,257","\$<br>1,861",\$,"1,131","\$<br>8,475"
Noncurrent portion,"\$<br>4,630","\$<br>3,079",\$<br>—,\$,—,"\$<br>7,708"
