"For the year ended December 31, 2023:",Before Tax<br>Amount,Tax (Expense)/<br>Benefit,Net of Tax<br>Amount
----------------------------------------------------------------,----------------------,---------------------------,----------------------
Other comprehensive income/(loss),,,
Foreign currency translation adjustments,\$<br>3,\$<br>100,\$<br>103
Net unrealized gains/(losses) on available-for-sale securities,\$<br>0,\$<br>0,\$<br>0
Unrealized gains/(losses) on cash flow hedges,,,
Unrealized gains/(losses) arising during the period,\$<br>207,\$<br>(63),\$<br>144
Reclassification of (gains)/losses to:,,,
Cost of services,5,(1),5
Cost of sales,(22),8,(14)
Cost of financing,14,(3),10
SG&A expense,(12),4,(8)
Other (income) and expense,(209),53,(157)
Interest expense,66,(17),49
Total unrealized gains/(losses) on cash flow hedges,\$<br>47,\$<br>(19),\$<br>28
Retirement-related benefit plans (1),,,
Prior service costs/(credits),\$<br>2,\$<br>0,\$<br>2
Net gains/(losses) arising during the period,"(3,115)",536,"(2,579)"
Curtailments and settlements,5,(1),4
Amortization of prior service costs/(credits),(9),3,(6)
Amortization of net (gains)/losses,515,(88),427
Total retirement-related benefit plans,"\$<br>(2,602)",\$<br>450,"\$<br>(2,152)"
Other comprehensive income/(loss),"\$<br>(2,552)",\$<br>531,"\$<br>(2,021)"
