,Total Contractual,,Payments Due In,,
----------------------------------------------------------------,-------------------,--------------,-----------------,--------------,--------------
,Payment Stream,2026,2027–28,2029–30,After 2030
Long-term debt obligations,"\$<br>61,134","\$<br>6,146","\$<br>11,451","\$<br>9,333","\$<br>34,204"
Interest on long-term debt obligations,"24,205","2,078","3,602","2,941","15,585"
Finance lease obligations (1),"1,153",279,474,255,144
Operating lease obligations (1),"3,958",935,"1,342",707,974
Purchase obligations,"4,817","1,958","1,926",731,202
Other long-term liabilities,,,,,
Minimum defined benefit pension plan<br>funding (mandated) (2),800,50,300,450,
Excess Savings Plan,"1,783",238,489,507,549
Long-term termination benefits,875,311,101,75,388
Tax reserves (3),"4,507",57,,,
Other,550,66,102,83,300
Total,"\$<br>103,782","\$<br>12,119","\$<br>19,787","\$<br>15,081","\$<br>52,345"
