For the year ended December 31:,2025,2024
----------------------------------------------,-------------,-------------
Commercial financing receivables,,
Receivables transferred during the period,"\$<br>8,035","\$<br>7,860"
Receivables uncollected at end of period (1),"\$<br>1,052","\$<br>1,150"
