($inmillions),,,,,,,,
,,2025,,,,2024,,
,,Benefit,Plan,,,Benefit,Plan,
AtDecember31:,,Obligation,Assets,,,Obligation,Assets,
PlanswithAPBOinexcessofplanassets,$,"2771 $
,",,14,$,"2764 $
,",,20
