,,DefinedBenefit,,PensionPlans,,
,,"U .S Plans
.",,,"Non-U .S Plans
.",
,2025,2024,2023,2025,2024,2023
Weighted-average assumptions used to measure net periodic,,,,,,
(income)/costfortheyearendedDecember31,,,,,,
Discount rate (1) (2),"550%
.","500%
.","530%
.","361%
.","337%
.","380%
."
Expected long-term returns on plan assets (1) (2),"550%
.","508%
.","550%
.","486%
.","489%
.","444%
."
Rateofcompensationincrease(3),"400%
.","500%
.",N/A,"404%
.","418%
.","400%
."
Interest crediting rate (1),"430%
.","380%
.","440%
.","032%
.","028%
.","034%
."
Weighted-average assumptions used to measure benefit,,,,,,
obligationsatDecember31,,,,,,
Discountrate,"520%
.","550%
.","500%
.","405%
.","361%
.","336%
."
Rateofcompensationincrease,"400%
.","400%
.","500%
.","436%
.","404%
.","418%
."
Interestcreditingrate,"410%
.","430%
.","380%
.","029%
.","032%
.","028%
."
