($inmillions),,
,,Total
,Consideration(1),
CashpaidforoutstandingHashiCorpcommonstock,$,"7212
,"
CashpaidforHashiCorpequityawards,,178
Cashconsideration,$,"7390
,"
Fair value of stock-based compensation awards attributable to pre-acquisition services,,40
Settlement of pre-existing relationships,,3
Totalconsideration,$,"7433
,"
