($inmillions),,,,,,
AtDecember31:,,2025,,2024,,2023
UnitedStates,$,"1016
,",$,"1154
,",$,"1249
,"
India,,428,,365,,218
Japan,,258,,324,,340
Othercountries,,"1426
,",,"1355
,",,"1413
,"
Total,$,"3129
,",$,"3197
,",$,"3220
,"
