($inmillions),,
,,Total
2026,$,"1470
,"
2027,,"1227
,"
2028,,874
2029,,509
2030,,203
Thereafter,,55
Totalundiscountedcashflows,$,"4338
,"
Presentvalueofleasepayments(recognizedasfinancingreceivables)(1),,"3858
,"
Differencebetweenundiscountedcashflowsanddiscountedcashflows,$,479
