($inmillions),,,,,
AtDecember31:,,2025,,2024,
"ROU assets—Property, plant and equipment",$,"1170
,",$,,984
Leaseliabilities,,,,,
Short-term debt,,279,,,198
Long-term debt,,874,,,803
