($inmillions),,,,,,,
FortheyearendedDecember31:,,2025,,2024,,,2023
Cashpaidforamountsincludedinthemeasurementofleaseliabilities,,,,,,,
Operatingcashoutflowsfromfinanceleases,$,58,$,,43,$,16
Financingcashoutflowsfromfinanceleases,,280,,,189,,75
Operatingcashoutflowsfromoperatingleases,,"1011
,",,,961,,961
ROUassetsobtainedinexchangefornewfinanceleaseliabilities,,444,,,698,,355
ROUassetsobtainedinexchangefornewoperatingleaseliabilities,,658,,,988,,"1220
,"
