($inmillions),,,,,,,,,,
,,,,,,,,,,Total
FortheyearendedDecember31:,,Software,,Consulting,Infrastructure,,,Financing,,Segments
2025,,,,,,,,,,
D ine tap nre gc ibia leti son/amortization of non-acquired,$,532,$,78,$,"1130
,",$,3,$,"1743
,"
InterestIncome,,—,,—,,—,,705,,705
InterestExpense,,—,,—,,—,,365,,365
2024,,,,,,,,,,
D ine tap nre gc ibia leti son/amortization of non-acquired,$,495,$,100,$,"1103
,",$,9,$,"1708
,"
InterestIncome,,—,,—,,—,,681,,681
InterestExpense,,—,,—,,—,,369,,369
2023,,,,,,,,,,
D ine tap nre gc ibia leti son/amortization of non-acquired,$,510,$,109,$,"1018
,",$,8,$,"1646
,"
InterestIncome,,—,,—,,—,,680,,680
InterestExpense,,—,,—,,—,,298,,298
