($inmillions),,,,,,,,
FortheyearendedDecember31:,,2025,,,2024,,2023,
Other(income)andexpense,,,,,,,,
(Gains)/lossesonforeigncurrencytransactions(1),$,,993,$,(458),$,,116
(Gains)/lossesonderivativeinstruments(1),,,(641),,515,,,(17)
Interestincome,,,(645),,(747),,,(670)
Net(gains)/lossesfromsecuritiesandinvestmentassets,,,7,,(20),,,(39)
Retirement-related costs/(income) (2),,,65,,"3457
,",,,(39)
Other(3),,,(221),,(877),,,(266)
Totalother(income)andexpense,$,,(442),$,"1871
,",$,,(914)
