($inmillions),,,,,,
,,,,,Yr.-to-Yr.,Yr.-to-Yr.
,,,,,Percent/,PercentChange
,,,,,Margin,Adjustedfor
FortheyearendedDecember31:,,2025,,2024,Change,Currency
Revenue,,,,,,
Software,$,"29962
,",$,"27085
,","106%
.","91%
."
Grossmargin,,"835%
.",,"837%
.",(0 .2) pts.,
Consulting,,"21055
,",,"20692
,","18%
.","04%
."
Grossmargin,,"281%
.",,"270%
.",1 .1 pts.,
Infrastructure,,"15718
,",,"14020
,","121%
.","104%
."
Grossmargin,,"586%
.",,"558%
.",2 .9 pts.,
Financing,,737,,713,"33%
.","25%
."
Grossmargin,,"453%
.",,"479%
.",(2 .6) pts.,
Other(1),,63,,243,"(740)%
.","(775)%
."
Grossmargin,,NM,,"(3528)%
.",NM,
Totalrevenue,$,"67535
,",$,"62753
,","76%
.","61%
."
Totalgrossprofit,$,"39297
,",$,"35551
,","105%
.",
Totalgrossmargin,,"582%
.",,"567%
.",1 .5 pts.,
Non-operating adjustments,,,,,,
Amortizationofacquiredintangibleassets,,888,,724,"226%
.",
Operating (non-GAAP) gross profit,$,"40184
,",$,"36275
,","108%
.",
Operating (non-GAAP) gross margin,,"595%
.",,"578%
.",1 .7 pts.,
