($inmillions),,,,,,
AtDecember31:,,2025,,2024,,2023
UnitedStates,$,"4097
,",$,"4009
,",$,"3466
,"
Othercountries,,"1797
,",,"1717
,",,"2027
,"
Total,$,"5894
,",$,"5726
,",$,"5492
,"
