($inmillions),,,,
AtDecember31:,,2025,,2024
Retirementbenefits,$,"1691
,",$,"1898
,"
Leases,,"1224
,",,"1157
,"
Share-based and other compensation,,888,,796
Taxlosses/credits,,"3923
,",,"3615
,"
Deferredincome,,797,,790
"Bad debt , inventory and warranty reserves",,207,,198
Depreciation,,243,,238
Accruals,,418,,395
Intangibleassets,,"3341
,",,"2482
,"
CapitalizedR&D,,"4426
,",,"4185
,"
Hedging,,270,,—
Other,,994,,784
Grossdeferredtaxassets,,"18422
,",,"16537
,"
Less:valuationallowance,,"1143
,",,"1223
,"
Netdeferredtaxassets,$,"17279
,",$,"15314
,"
