($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024(1),,2023(1)
HybridCloud,$,"7327
,",$,"6490
,",$,"5827
,"
Automation,,"7733
,",,"6558
,",,"6008
,"
Data,,"6299
,",,"5629
,",,"5461
,"
TransactionProcessing,,"8603
,",,"8408
,",,"7714
,"
TotalSoftware,$,"29962
,",$,"27085
,",$,"25011
,"
StrategyandTechnology,$,"11537
,",$,"11488
,",$,"11430
,"
IntelligentOperations,,"9518
,",,"9204
,",,"9455
,"
TotalConsulting,$,"21055
,",$,"20692
,",$,"20884
,"
HybridInfrastructure,$,"10618
,",$,"8913
,",$,"9215
,"
InfrastructureSupport,,"5100
,",,"5107
,",,"5377
,"
TotalInfrastructure,$,"15718
,",$,"14020
,",$,"14593
,"
Financing(2),$,737,$,713,$,741
Other (3),$,63,$,243,$,632
TotalRevenue,$,"67535
,",$,"62753
,",$,"61860
,"
