,,,,,Yr.-to-Yr.
,,,,,Percent/Margin
ForyearendedDecember31:,,2025,,2024(1),Change
Revenue(2),$,"67535
,",$,"62753
,","76%
."
Grossprofitmargin,,"582%
.",,"567%
.",1 .5 pts.
Totalexpenseandother(income),$,"28968
,",$,"29754
,","(26)%
."
Incomefromcontinuingoperationsbeforeincometaxes,$,"10328
,",$,"5797
,","782%
."
Provisionfor/(benefitfrom)incometaxesfromcontinuingoperations(1),$,(242),$,(218),"111%
."
Income from continuing operations (1),$,"10571
,",$,"6015
,","757%
."
Incomefromcontinuingoperationsmargin,,"157%
.",,"96%
.",6 .1 pts.
"Income from discontinued operations, net of tax",$,22,$,8,"1625%
."
Netincome,$,"10593
,",$,"6023
,","759%
."
Earnings per share from continuing operations–assuming dilution,$,"1114
.",$,"642
.","735%
."
Consolidated earnings per share–assuming dilution,$,"1117
.",$,"643
.","737%
."
Weighted-average shares outstanding–assuming dilution,$,"9487
.",$,"9372
.","12%
."
Assets(3),$,"151880
,",$,"137175
,","107%
."
Liabilities(3),$,"119139
,",$,"109783
,","85%
."
Equity(3),$,"32740
,",$,"27393
,","195%
."
