($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
Cost,$,269,$,223,$,190
SG&Aexpense,,904,,690,,616
R&Dexpense,,542,,398,,328
Pre-tax stock-based compensation cost,,"1715
,",,"1311
,",,"1133
,"
Incometaxbenefits,,(740),,(469),,(290)
Net stock-based compensation cost,$,975,$,842,$,843
