($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
UnitedStates,$,"26892
,",$,"25144
,",$,"25309
,"
Othercountries,,"40643
,",,"37609
,",,"36551
,"
Totalrevenue,$,"67535
,",$,"62753
,",$,"61860
,"
