($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
Financeleasecost,$,331,$,229,$,114
Operatingleasecost,,"1027
,",,"1018
,",,"1013
,"
Short-term lease cost,,6,,9,,9
Variableleasecost,,300,,321,,331
Subleaseincome,,(25),,(39),,(61)
Totalleasecost,$,"1639
,",$,"1537
,",$,"1406
,"
