($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
Lease income—sales-type and direct financing leases,,,,,,
Sales-type lease selling price,$,"2226
,",$,865,$,"1280
,"
Less:Carryingvalueofunderlyingassets(1),,(528),,(176),,(245)
Grossprofit,,"1697
,",,689,,"1034
,"
Interestincomeonleasereceivables,,243,,268,,242
Total sales-type and direct financing lease income,,"1940
,",,958,,"1276
,"
Lease income—operating leases,,43,,60,,93
Variableleaseincome,,74,,68,,68
Totalleaseincome,$,"2058
,",$,"1085
,",$,"1437
,"
