($inmillions),,,,,,,
,,,,,,,Yr.-to-Yr.
,,,,,,,Percent
FortheyearendedDecember31:,,2025,,,2024,,Change
Intellectualpropertyincome(1),$,,265,$,,329,"(193)%
."
Customdevelopmentincome,,,699,,,667,"47
."
Total,$,,964,$,,996,"(32)%
."
