($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
Cashflowsfromoperatingactivities,,,,,,
Netincome,$,"10593
,",$,"6023
,",$,"7502
,"
Adjustmentstoreconcilenetincometocashprovidedbyoperatingactivities,,,,,,
Pensionsettlementcharges,,—,,"3113
,",,—
Depreciation(1),,"2284
,",,"2168
,",,"2109
,"
Amortizationofcapitalizedsoftwareandacquiredintangibleassets,,"2737
,",,"2499
,",,"2287
,"
Stock-based compensation,,"1715
,",,"1311
,",,"1133
,"
Deferred taxes (2),,(957),,"(2330)
,",,"(1114)
,"
"Net (gain)/loss on divestitures, asset sales and other",,(39),,(652),,(170)
"Change in operating assets and liabilities, net of acquisitions/divestitures",,,,,,
Receivables(includingfinancingreceivables),,"(4278)
,",,(374),,725
Retirementrelated,,(50),,265,,(462)
Inventory,,70,,(166),,390
Otherassets/otherliabilities(2),,495,,"1601
,",,"1466
,"
Accountspayable,,624,,(13),,65
Netcashprovidedbyoperatingactivities,,"13193
,",,"13445
,",,"13931
,"
Cashflowsfrominvestingactivities,,,,,,
"Payments for property, plant and equipment",,"(1091)
,",,"(1048)
,",,"(1245)
,"
"Proceeds from disposition of property, plant and equipment/other",,121,,557,,321
Investmentinsoftware,,(647),,(637),,(565)
Purchasesofmarketablesecuritiesandotherinvestments,,"(10095)
,",,"(7762)
,",,"(11143)
,"
Proceedsfromdispositionofmarketablesecuritiesandotherinvestments,,"9704
,",,"6544
,",,"10647
,"
"Acquisition of businesses, net of cash acquired",,"(8294)
,",,"(3289)
,",,"(5082)
,"
"Divestiture of businesses, net of cash transferred",,(1),,698,,(4)
Netcashprovidedby/(usedin)investingactivities,,"(10302)
,",,"(4937)
,",,"(7070)
,"
Cashflowsfromfinancingactivities,,,,,,
Proceedsfromnewdebt,,"8391
,",,"5705
,",,"9586
,"
Paymentstosettledebt,,"(5489)
,",,"(6615)
,",,"(5082)
,"
Short-term borrowings/(repayments) less than 90 days—net,,(29),,30,,(7)
Commonstockrepurchasesfortaxwithholdings,,"(1018)
,",,(651),,(402)
Proceedsfromissuanceofshares,,710,,745,,414
Financing—other,,(139),,(145),,(239)
Cashdividendspaid,,"(6255)
,",,"(6147)
,",,"(6040)
,"
Netcashprovidedby/(usedin)financingactivities,,"(3829)
,",,"(7079)
,",,"(1769)
,"
"Effect of exchange rate changes on cash , cash equivalents and restricted cash",,418,,(359),,9
"Net change in cash cash equivalents and restricted cash
,",,(520),,"1071
,",,"5101
,"
"Cash cash equivalents and restricted cash at January 1
,",,"14160
,",,"13089
,",,"7988
,"
"Cash cash equivalents and restricted cash at December 31
,",$,"13640
,",$,"14160
,",$,"13089
,"
Supplementaldata,,,,,,
Income taxes paid—net of refunds received,$,"1948
,",$,"1723
,",$,"1564
,"
Interestpaidondebt,$,"2042
,",$,"1978
,",$,"1668
,"
