($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
"U .S federal
.",,,,,,
Current,$,"(1722)
,",$,(335),$,560
Deferred,,(119),,"(2204)
,",,"(1371)
,"
,$,"(1842)
,",$,"(2539)
,",$,(811)
"U .S state and local
.",,,,,,
Current,$,135,$,152,$,127
Deferred,,(130),,(335),,(162)
,$,5,$,(183),$,(34)
"Non-U .S
.",,,,,,
Current,$,"2303
,",$,"2301
,",$,"1594
,"
Deferred,,(708),,203,,428
,$,"1595
,",$,"2504
,",$,"2022
,"
Totalcontinuingoperationsprovisionfor/(benefitfrom)incometaxes,$,(242),$,(218),$,"1176
,"
Discontinuedoperationsprovisionfor/(benefitfrom)incometaxes,$,(20),$,6,$,(9)
Totalprovisionfor/(benefitfrom)incometaxes,$,(262),$,(212),$,"1167
,"
