($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
Revenue,,,,,,
Totalreportablesegments,$,"67472
,",$,"62510
,",$,"61229
,"
Other—divested businesses,,(2),,35,,397
Otherrevenue(1),,65,,207,,235
Totalrevenue,$,"67535
,",$,"62753
,",$,"61860
,"
($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
Pre-tax income from continuing operations,,,,,,
Totalreportablesegmentprofit,$,"16364
,",$,"13535
,",$,"12829
,"
Amortizationofacquiredintangibleassets,,"(2166)
,",,"(1830)
,",,"(1627)
,"
Acquisition-related charges,,(154),,(122),,(33)
Non-operating retirement-related (costs)/income (2),,(65),,"(3457)
,",,39
Stock-based compensation (3),,"(1685)
,",,"(1311)
,",,"(1133)
,"
NetinterestexcludingtheFinancingsegment,,"(1312)
,",,(984),,(973)
Workforcerebalancingcharges(3),,(653),,(692),,(435)
Other—divested businesses (4),,(33),,234,,83
Unallocatedcorporateamountsandother(5),,31,,425,,(59)
Total pre-tax income from continuing operations,$,"10328
,",$,"5797
,",$,"8690
,"
