($inmillions),,,,,
,,,,,Yr.-to-Yr.
,,,,,Percent/
,,,,,Margin
FortheyearendedDecember31:,,2025,,2024,Change
Total expense and other (income) (1) (2),$,"28968
,",$,"29754
,","(26)%
."
Non-operating adjustments,,,,,
Amortizationofacquiredintangibleassets,,"(1279)
,",,"(1107)
,","155
."
Acquisition-related charges,,(154),,(122),"256
."
Non-operating retirement-related (costs)/income (2),,(65),,"(3457)
,","(981)
."
Operating (non-GAAP) expense and other (income) (1),$,"27472
,",$,"25068
,","96%
."
Total expense-to-revenue ratio,,"429%
.",,"474%
.",(4 .5) pts.
Operating (non-GAAP) expense-to-revenue ratio,,"407%
.",,"399%
.",0 .7 pts.
