($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,,2024,
Commercialfinancingreceivables,,,,,,
Receivablestransferredduringtheperiod,$,,"8035
,",$,,"7860
,"
Receivablesuncollectedatendofperiod(1),$,,"1052
,",$,,"1150
,"
