($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
Americas,$,"33342
,",$,"31266
,",$,"31666
,"
Europe/MiddleEast/Africa,,"22189
,",,"19429
,",,"18492
,"
AsiaPacific,,"12004
,",,"12058
,",,"11702
,"
Total,$,"67535
,",$,"62753
,",$,"61860
,"
