($inmillions),,,,,,,,,
FortheyearendedDecember31:,,2025,,,2024,,,2023,
Costoffinancing,$,,365,$,,336,$,,334
Interestexpense,,,"1935
,",,,"1712
,",,,"1607
,"
Interestcapitalized,,,4,,,12,,,9
Totalinterestpaidandaccrued,$,,"2305
,",$,,"2060
,",$,,"1949
,"
