($inmillionsexceptpershareamounts),,,,,,
FortheyearendedDecember31:,,2025(1),,2024(1),,2023
Weighted-average number of shares on which earnings per share,,,,,,
calculationsarebased,,,,,,
Basic,,"932293927
, ,",,"921767834
, ,",,"911210319
, ,"
Add—incremental shares under stock-based compensation plans,,"13853308
, ,",,"13012755
, ,",,"8700951
, ,"
Add—incremental shares associated with contingently issuable shares,,"2527994
, ,",,"2380636
, ,",,"2162558
, ,"
Assumingdilution,,"948675228
, ,",,"937161224
, ,",,"922073828
, ,"
Incomefromcontinuingoperations,$,"10571
,",$,"6015
,",$,"7514
,"
"Income/(loss) from discontinued operations, net of tax",,22,,8,,(12)
Netincomeonwhichbasicanddilutiveearningspershareis,,,,,,
calculated,$,"10593
,",$,"6023
,",$,"7502
,"
Earnings/(loss)pershareofcommonstock,,,,,,
Assumingdilution,,,,,,
Continuingoperations,$,"1114
.",$,"642
.",$,"815
."
Discontinuedoperations,,"002
.",,"001
.",,"(001)
."
Total,$,"1117
.",$,"643
.",$,"814
."
Basic,,,,,,
Continuingoperations,$,"1134
.",$,"653
.",$,"825
."
Discontinuedoperations,,"002
.",,"001
.",,"(001)
."
Total,$,"1136
.",$,"653
.",$,"823
."
