,Common,,,,,,,,,
,Stockand,,,Accumulated,,,,,,
,Additional,,,,Other,,TotalIBM,,Non-,
,Paid-in,Retained,Treasury,Comprehensive,,Stockholders’,,Controlling,,Total
,Capital,Earnings,Stock,Income/(Loss),,,Equity,Interests,,Equity
2023,,,,,,,,,,
"Equity, January 1 2023
,","$58343
,","$149825
,","$(169484)
,",$,"(16740)
,",$,"21944
,",$,77,"$22021
,"
Netincomeplusother,,,,,,,,,,
comprehensiveincome/(loss),,,,,,,,,,
Netincome,,"7502
,",,,,,"7502
,",,,"7502
,"
Othercomprehensiveincome/,,,,,,,,,,
(loss),,,,,"(2021)
,",,"(2021)
,",,,"(2021)
,"
Totalcomprehensiveincome,,,,,,$,"5481
,",,,"$ 5481
,"
Cash dividends paid—common,,,,,,,,,,
stock ($6 .63 per share),,"(6040)
,",,,,,"(6040)
,",,,"(6040)
,"
Commonstockissuedunder,,,,,,,,,,
"employee plans (9 ,794 ,240",,,,,,,,,,
shares),"1300
,",,,,,,"1300
,",,,"1300
,"
"Purchases (2 ,953 ,554 shares) and",,,,,,,,,,
"sales (2 ,080 ,983 shares) of",,,,,,,,,,
treasurystockunderemployee,,,,,,,,,,
plans—net,,(11),(140),,,,(152),,,(152)
Changesinnoncontrollinginterests,,,,,,,,,3,3
"Equity, December 31 2023
,","$59643
,","$151276
,","$(169624)
,",$,"(18761)
,",$,"22533
,",$,80,"$22613
,"
