($inmillions),,,,
AtDecember31:,,2025,,2024
Landandlandimprovements,$,182,$,179
Buildingsandbuildingandleaseholdimprovements,,"4807
,",,"4825
,"
Informationtechnologyequipment,,"8885
,",,"8895
,"
"Production, engineering office and other equipment
,",,"4000
,",,"3792
,"
Total—gross,,"17874
,",,"17691
,"
Less:Accumulateddepreciation,,"11975
,",,"11959
,"
Total—net,$,"5899
,",$,"5731
,"
