($inmillions),,,,,,,,,,
FortheyearendedDecember31:,,Software,,Consulting,,Infrastructure,,Financing(1),,Segments
2025,,,,,,,,,,
Revenue,$,"29962
,",$,"21055
,",$,"15718
,",$,737,$,"67472
,"
Segmentcost,,"4951
,",,"15134
,",,"6502
,",,403,,"26990
,"
Otherexpenseand(income)(2),,"15091
,",,"3457
,",,"5757
,",,(187),,"24118
,"
Segmentprofit,,"9920
,",,"2464
,",,"3458
,",,521,,"16364
,"
Revenue year-to-year change,,"106%
.",,"18%
.",,"121%
.",,"33%
.",,"79%
."
Segment profit year-to-year change,,"142%
.",,"200%
.",,"412%
.",,"496%
.",,"209%
."
Segmentprofitmargin,,"331%
.",,"117%
.",,"220%
.",,"707%
.",,"243%
."
2024,,,,,,,,,,
Revenue,$,"27085
,",$,"20692
,",$,"14020
,",$,713,$,"62510
,"
Segmentcost,,"4428
,",,"15103
,",,"6201
,",,372,,"26103
,"
Otherexpenseand(income)(2),,"13974
,",,"3535
,",,"5369
,",,(6),,"22872
,"
Segmentprofit,,"8684
,",,"2054
,",,"2450
,",,348,,"13535
,"
Revenue year-to-year change,,"83%
.",,"(09)%
.",,"(39)%
.",,"(37)%
.",,"21%
."
Segment profit year-to-year change,,"158%
.",,"(36)%
.",,"(134)%
.",,"(66)%
.",,"55%
."
Segmentprofitmargin,,"321%
.",,"99%
.",,"175%
.",,"488%
.",,"217%
."
2023,,,,,,,,,,
Revenue,$,"25011
,",$,"20884
,",$,"14593
,",$,741,$,"61229
,"
Segmentcost,,"4289
,",,"15297
,",,"6406
,",,384,,"26376
,"
Otherexpenseand(income)(2),,"13222
,",,"3458
,",,"5359
,",,(16),,"22023
,"
Segmentprofit,,"7499
,",,"2130
,",,"2828
,",,373,,"12829
,"
