($inmillions),,,,,,
,,(Gains)/Losses,,ofTotalHedge,Activity,
FortheyearendedDecember31:,,2025,,2024,,2023
Costofservices,$,27,$,(22),$,5
Costofsales,,15,,(40),,(22)
Costoffinancing,,(2),,10,,11
SG&Aexpense,,(170),,(151),,(165)
Other(income)andexpense,,(641),,515,,(17)
Interestexpense,,(13),,51,,54
