($inmillions),,,,,
,,GrossCarrying,,Accumulated,NetCarrying
"At December 31 2025:
,",,Amount,,Amortization,Amount(1)
Intangibleassetclass,,,,,
Capitalizedsoftware,$,"1388
,",$,(424) $,964
Clientrelationships,,"11261
,",,"(5602)
,","5659
,"
Completedtechnology,,"7399
,",,"(4096)
,","3304
,"
Patents/trademarks,,"2030
,",,(665),"1365
,"
Other(2),,139,,(40),99
Total,$,"22218
,",$,"(10827) $
,","11391
,"
($inmillions),,,,,
,,GrossCarrying,,Accumulated,NetCarrying
"At December 31 2024:
,",,Amount,,Amortization,Amount(1)
Intangibleassetclass,,,,,
Capitalizedsoftware,$,"1282
,",$,(492) $,790
Clientrelationships,,"9704
,",,"(4387)
,","5317
,"
Completedtechnology,,"6297
,",,"(3164)
,","3132
,"
Patents/trademarks,,"1826
,",,(519),"1307
,"
Other(2),,138,,(24),114
Total,$,"19247
,",$,"(8587) $
,","10660
,"
