One-Year,,,,,,,
"(U .S Dollar)
.",,,12/2024,3/2025,6/2025,9/2025,12/2025
,InternationalBusinessMachines,,"$10000
.","$11387
.","$13590
.","$13099
.","$13826
."
,S&P500,,"$10000
.","$ 9573
.","$10620
.","$11483
.","$11788
."
,S&PInformationTechnology,,"$10000
.","$ 8735
.","$10805
.","$12231
.","$12404
."
Five-Year,,,,,,,
"(U .S Dollar)
.",,2020,2021,2022,2023,2024,2025
,InternationalBusinessMachines,"$10000
.","$11700
.","$12953
.","$15786
.","$21986
.","$30397
."
,S&P500,"$10000
.","$12871
.","$10540
.","$13310
.","$16640
.","$19616
."
,S&PInformationTechnology,"$10000
.","$13453
.","$ 9660
.","$15248
.","$20830
.","$25838
."
