($inmillions),,,,,,,,,,,,
,,,,,,,,,,Foreign,,
,,,,,,,,,,Currency,,
,,,,,,Purchase,,,,Translation,,
,,Balanceat,,Goodwill,,Price,,,,andOther,,Balanceat
Segment,"January 1 2024
,",,,Additions,,Adjustments,,Divestitures,Adjustments(1),,"December 31 2024
,",
Software,$,"46447
,",$,"1511
,",$,(51),$,—,$,(770),$,"47136
,"
Consulting,,"8883
,",,469,,(3),,(1),,(142),,"9206
,"
Infrastructure,,"4384
,",,8,,(1),,—,,(28),,"4363
,"
Other(2),,464,,—,,—,,(464),,—,,—
Total,$,"60178
,",$,"1987
,",$,(55),$,(465),$,(940),$,"60706
,"
