($inmillions),,,,,,,,,
FortheyearendedDecember31:,,2025,,,2024,,,2023,
RSUs,,,,,,,,,
Granted,$,,"1562
,",$,,"1449
,",$,,"1293
,"
Vested,,,"1157
,",,,994,,,845
PSUs,,,,,,,,,
Granted,$,,239,$,,183,$,,151
Vested,,,118,,,121,,,95
