AtDecember31:,2025,2024
Financeleases,,
Weighted-average remaining lease term (in years),"49
.","60
."
Weighted-average discount rate,"485%
.","503%
."
Operatingleases,,
Weighted-average remaining lease term (in years),"64
.","64
."
Weighted-average discount rate,"507%
.","491%
."
