($inmillions),,,,,,
,,2025,,2024,,2023
BalanceatJanuary1,$,"8875
,",$,"8772
,",$,"8728
,"
Additionsbasedontaxpositionsrelatedtothecurrentyear,,316,,667,,296
Additionsfortaxpositionsofprioryears,,402,,452,,231
Reductionsfortaxpositionsofprioryears,,"(2843)
,",,(955),,(457)
Settlements,,(95),,(61),,(26)
BalanceatDecember31,$,"6655
,",$,"8875
,",$,"8772
,"
