($inbillions),,,,,,
,,2025,,2024,,2023
Netcashfromoperatingactivities(1),$,"132
.",$,"134
.",$,"139
."
"Cash and cash equivalents, restricted cash and short-term marketable securities",$,"145
.",$,"148
.",$,"135
."
Committedglobalcreditfacilities(2),$,"100
.",$,"100
.",$,"100
."
