($inmillionsexceptpershareamounts),,,,,,,,,,
,,,Acquisition-,,Retirement-,,,"U .S Tax
.",,
,,,,Related,,Related,,Reform,,Operating
"For the year ended December 31 , 2024:",,GAAP,Adjustments,,Adjustments(3),,,Impacts(1),(non-GAAP),
Grossprofit,$,"35551
,",$,724,$,—,$,—,$,"36275
,"
Grossprofitmargin,,"567%
.",,1 .2 pts.,,— pts.,,— pts.,,"578%
."
SG&A,$,"19688
,",$,"(1159)
,",$,—,$,—,$,"18529
,"
Other(income)andexpense(4),,"1871
,",,(70),,"(3457)
,",,—,,"(1656)
,"
Totalexpenseandother(income),,"29754
,",,"(1229)
,",,"(3457)
,",,—,,"25068
,"
Pre-tax income from continuing operations,,"5797
,",,"1953
,",,"3457
,",,—,,"11207
,"
Pre-tax margin from continuing operations,,"92%
.",,3 .1 pts.,,5 .5 pts.,,— pts.,,"179%
."
Provisionfor/(benefitfrom)incometaxes(2),$,(218),$,497,$,790,$,455,$,"1523
,"
Effectivetaxrate,,"(38)%
.",,5 .1 pts.,,8 .2 pts.,,4 .1 pts.,,"136%
."
Incomefromcontinuingoperations,$,"6015
,",$,"1456
,",$,"2668
,",$,(455),$,"9684
,"
Incomemarginfromcontinuingoperations,,"96%
.",,2 .3 pts.,,4 .3 pts.,,(0 .7) pts.,,"154%
."
Dilutedearningspersharefromcontinuingoperations,$,"642
.",$,"155
.",$,"285
.",$,"(049)
.",$,"1033
."
