($inmillions),,,,,
,Amortization,StreamSetsand,,,Other
,Life(inYears),,webMethods,,Acquisitions
Currentassets,,$,362,$,121
"Property, plant and equipment/noncurrent assets",,,19,,31
Intangibleassets,,,,,
Goodwill,N/A,,"1074
,",,894
Clientrelationships,1—7,,680,,167
Completedtechnology,5—7,,550,,181
Trademarks,1—7,,45,,6
Totalassetsacquired,,$,"2730
,",$,"1401
,"
Currentliabilities,,,201,,68
Noncurrentliabilities,,,254,,78
Totalliabilitiesassumed,,$,455,$,145
Totalpurchaseprice,,$,"2275
,",$,"1255
,"
