_In thousands of euros_,**30 Jun 25**,**31 Dec 24**
**On-demand**<br>**At maturity**,**On-demand**<br>**At maturity**
Government paper and equivalent<br>Bonds and other securities,"-<br>390,412<br>-<br>3,657,784","-<br>403,641<br>-<br>2,765,293"
**Total**,"**-**<br>**4,048,195**","**-**<br>**3,168,934**"
Impairment,"-<br>(16,224)","-<br>(20,502)"
**Total**,"**-**<br>**4,031,971**","**-**<br>**3,148,432**"
