"Registered
Inthousandsofeuros office Offices 30Jun25 31Dec24",,
Grossvalue,,
"At 1 January 110 ,489 16 ,592
New contract - -
Modification of contract - -
Other items (690)
-
At the end of the period 109 ,799 16 ,592","127081
,
-
-
(690)
126391
,","113468
,
-
-
13613
,
127081
,"
"Depreciation/amortisation (87 ,303) (13 ,599)","(100902)
,","(91982)
,"
"Net value 22 ,496 2 ,993","25489
,","35099
,"
