30Jun25 31Dec24,,
Inthousandsofeuros,Assets Liabilities Assets Liabilities,
"Guaranteesagainstcollateral
Allocatedpublicfunds
Otherassetsandliabilities
Accounts payable French State
,","2198579 395291
, , ,
94813
,
1268401 2193374
, , , ,
360946
,","1651850 468011
, , ,
- 87 ,110
1256112 2303476
, , , ,
- 471 ,697"
Totalaccrualsandothermiscellaneousassets/liabilities,"3466979 3044424
, , , ,","2907962 3330294
, , , ,"
