inthousandsofeuros,"Rateof360%
.",Rateof4%,Difference(€) Difference(%)
"IFC(retirementbonus)mechanism 18791
,
Serviceawardmechanism 1328
,
Retireehealthinsurancemechanism 111612
,
Expatriateemployeeshealthcare
15019
expensesmechanism ,",,"17935
,
1292
,
103080
,
13748
,","(856) (5%)
(36) (3%)
(8531) (8%)
,
(1271) (9%)
,"
"Total 146749
,",,"136055
,","(10694) (7%)
,"
