Liabilities,,,
Inthousandsofeuros Notes 30Jun25 31Dec24 Change,,,
"Financialliabilitiesatfairvaluethroughprofitorloss 1
Hedgingderivatives 2
Financialliabilitiesatamortisedcost
Debtsecuritiesinissueatamortisedcost 9
Interbankmarketsecurities
Bonds
Debtstocreditinstitutionsandequivalentatamortisedcost 9
On-demand
Atmaturity
Debtstocustomersatamortisedcost 9
Currenttaxliabilities
Deferredtaxliabilities
Accrualsandothermiscellaneousliabilities 7
Allocatedpublicfunds
Otherliabilities
Provisions 10
Ofwhichcalibrationofthereserveaccount","95270
,
4159400
, ,
54396791
, ,
54362989
, ,
2012968
, ,
52350022
, ,
32210
,
21648
,
10561
,
1592
,
7470
,
10855
,
3044424
, ,
94813
,
2949610
, ,
803953
,
333431
,","481623 (386353)
, ,
3662740 496660
, , ,
53477032 919759
, , ,
53465351 897639
, , ,
809211 1203757
, , ,
52656140 (306118)
, , ,
9556 22654
, ,
9016 12633
, ,
540 10021
,
2125 (533)
,
14441 (6971)
, ,
13872 (3017)
, ,
3330294 (285870)
, , ,
87110 7704
, ,
3243184 (293574)
, , ,
882354 (78401)
, ,
285324 48107
, ,",
Subordinateddebt 11,"987897
,","842617
,","145280
,"
TOTALDEBTS,"63506058
, ,","62704972 801085
, , ,",
"EquityGroupshare (Tab1)
Provisionsandrelatedretainedearnings
Consolidatedretainedearningsandother
Gainsandlossesrecognisedinothercomprehensiveincome
Earningsfortheperiod
Non-controlling interests (Tab 1)","9531780
, ,
5177999
, ,
4068114
, ,
131493
,
154174
,
191105
,","9422346 109433
, , ,
5 ,177 ,999 -
3786818 281296
, , ,
113918 17575
, ,
343612 (189438)
, ,
199646 (8541)
, ,",
Totalequity,"9722885
, ,","9621992
, ,","100893
,"
TOTALLIABILITIES,"73228942
, ,","72326964 901978
, , ,",
