In thousands of euros,30 Jun 25 31 Dec 24,
,"Netincome Netincome
(Income of hedge accounting) (Income of hedge accounting)",
,"Changeinfair Changeinfair
value of Change in fair Ineffective value of Change in fair Ineffective
hedging value of hedged portion of hedging value of hedged portion of
instruments items hedge instruments items hedge",
"Interest rate derivatives
Interest rate and foreign exchange derivatives (cross-currency
swaps)
Other","75531 (65179) 10352
, , ,
(1015985) 1089985 74000
, , , , ,
- (47 ,513) (47 ,513)","434754 (409247) 25507
, , ,
731803 (728723) 3080
, , ,
- - -"
Total,"(940454) 977293 36840
, , ,","1166557 (1137970) 28587
, , , , ,"
